Crypt_size_1	Crypt_size_2	Crypt_size_3	Crypt_size_4	Crypt_size_5	Crypt_size_6	Crypt_size_7	Crypt_size_8	Crypt_size_9	Crypt_size_10	Crypt_size_11	Crypt_size_12	Crypt_size_13	Crypt_size_14	Crypt_size_15	Crypt_size_16	Crypt_size_17	Crypt_size_18	Crypt_size_19	Crypt_size_20
0	1	2	7	13	137	12	108	96	71	107	156	236	672	843	338	711	1736	2838	401
0	1	4	12	33	33	69	146	62	37	67	280	284	382	173	690	920	273	1741	1103
0	1	8	6	8	42	85	56	100	60	302	115	133	316	349	1342	720	1342	757	2080
0	1	6	13	24	72	36	71	128	262	302	99	183	588	81	504	647	568	713	3428
0	1	3	8	38	46	147	60	70	88	262	177	451	621	321	1042	431	581	752	1169
0	1	6	16	51	30	16	185	43	89	71	151	324	182	556	817	2758	1760	707	1401
0	1	7	12	34	34	27	47	215	45	273	160	277	575	378	257	1251	1442	861	1304
0	1	2	11	17	52	44	99	32	117	407	419	212	877	743	626	802	738	840	1222
0	1	3	19	8	37	185	117	152	186	487	634	598	504	188	341	640	792	396	2132
0	1	4	6	19	52	31	122	110	101	46	125	292	156	346	714	237	1016	906	550
0	1	4	14	39	26	61	283	163	264	70	97	214	377	533	767	394	571	1407	2233
0	1	6	8	20	10	63	57	42	556	112	180	285	1653	413	1717	744	1351	619	950
0	1	9	9	9	70	56	95	128	147	355	428	501	422	372	527	1063	675	903	1058
0	1	2	4	18	15	49	52	53	41	215	184	268	209	662	435	179	1445	931	2813
0	1	4	13	18	31	51	63	136	50	194	698	731	1149	774	425	1372	382	692	1320
0	1	5	12	11	81	35	95	219	256	68	461	308	391	336	320	435	1398	1642	996
0	1	2	5	21	17	88	252	69	98	165	377	185	308	221	527	873	881	2697	754
0	1	2	11	16	37	109	59	347	105	224	293	385	296	799	855	1744	1727	718	2103
0	1	3	5	13	73	35	112	135	54	217	140	148	261	1125	668	820	734	1613	1834
0	1	2	9	33	61	145	55	72	111	239	332	408	206	312	495	914	1129	2548	461
0	1	3	4	43	127	49	29	129	157	255	419	267	361	1197	773	2465	562	752	468
0	1	5	9	18	39	108	56	21	144	278	1218	616	358	396	1253	1488	303	3183	2897
0	1	3	8	40	49	55	73	39	123	275	186	412	330	386	304	1629	761	314	857
0	1	6	10	37	40	16	41	105	124	147	797	408	351	579	1275	908	1794	538	516
0	1	2	8	7	15	40	114	71	99	157	458	869	567	505	511	715	726	2942	1223
0	1	4	11	21	22	49	116	62	136	115	225	166	682	385	553	875	868	245	2144
0	1	4	21	24	9	29	63	293	243	163	202	304	933	437	555	914	371	1359	866
0	1	4	7	17	18	37	81	165	134	447	198	345	267	187	311	285	985	724	3051
0	1	2	10	7	55	100	52	152	40	172	92	715	1657	519	353	2460	605	512	1339
0	1	3	9	16	14	94	42	107	120	134	223	371	544	639	1355	851	887	1442	1097
0	1	2	5	13	30	42	55	209	134	238	216	444	717	116	781	826	1113	1442	2128
0	1	2	14	22	28	39	42	95	124	311	108	407	260	1112	457	688	417	1984	1329
0	1	3	12	23	76	84	90	55	185	242	216	298	381	299	1474	641	521	556	1232
0	1	4	5	14	38	50	70	53	62	190	134	602	376	520	436	1883	765	470	1993
0	1	3	7	6	36	51	88	143	224	218	333	249	227	488	2437	1324	1206	2807	947
0	1	3	11	14	46	47	54	92	299	97	178	187	183	329	503	191	1789	606	580
0	1	6	4	25	96	95	49	145	119	305	364	190	362	269	489	1237	792	1361	2216
0	1	2	11	19	28	180	81	165	282	315	295	653	701	290	946	928	1653	1846	1418
0	1	2	10	8	25	40	231	165	62	214	505	187	186	783	999	342	770	924	646
0	1	3	5	35	50	70	48	183	90	362	167	539	230	296	738	569	735	1901	841
0	1	2	16	44	63	38	64	106	27	205	262	779	537	262	221	1594	957	1617	983
0	1	2	12	6	24	32	82	125	168	167	194	349	337	777	437	231	1350	374	2301
0	1	3	6	35	20	58	31	65	157	135	269	237	274	245	410	622	503	1158	1260
0	1	2	8	7	49	80	82	153	74	93	248	207	311	604	668	934	739	1036	919
0	1	4	7	33	74	26	35	32	204	195	161	448	228	464	240	437	548	1732	495
0	1	5	5	6	29	54	215	59	470	104	146	218	548	379	377	606	1571	1437	3471
0	1	2	3	34	29	71	118	56	104	237	165	229	163	504	1297	807	365	676	1076
0	1	4	7	17	17	49	42	77	208	131	256	69	935	346	943	272	633	579	383
0	1	3	6	37	39	38	108	19	77	269	184	749	502	330	690	1538	274	953	892
0	1	3	4	10	24	29	51	272	252	53	414	277	372	219	238	576	968	1131	1353
0	1	3	26	23	24	29	54	209	103	96	154	521	391	335	505	448	891	1731	1038
0	1	5	8	6	35	63	82	190	112	118	155	190	296	215	348	1231	383	2194	2297
0	1	4	13	12	24	183	110	38	295	130	117	589	757	1272	294	370	1256	1405	1850
0	1	2	17	22	12	60	64	76	242	486	250	427	847	305	555	508	384	432	443
0	1	3	16	24	51	72	75	91	280	208	192	535	333	1040	1427	961	417	2063	778
0	1	3	5	8	14	19	51	168	102	289	317	428	205	424	172	596	822	1924	1550
0	1	6	17	25	29	17	201	179	145	336	492	211	1082	1253	409	968	219	2334	553
0	1	3	19	12	21	48	179	178	48	169	229	162	488	623	301	1387	833	1783	751
0	1	3	11	11	38	66	36	21	210	825	62	395	212	1053	527	887	455	801	1140
0	1	3	17	13	15	41	70	62	54	269	287	1152	519	541	321	412	794	1872	1295
0	1	2	24	10	10	60	59	44	158	198	525	141	465	297	740	202	314	769	1424
0	1	2	10	23	68	17	65	131	64	220	614	289	714	329	439	589	1278	303	1421
0	1	5	10	12	20	123	52	31	159	173	254	242	299	549	469	1653	2525	2699	628
0	1	9	5	35	28	25	53	53	63	86	768	710	381	879	1320	854	636	1719	1201
0	1	2	22	15	16	15	28	161	224	102	270	798	389	294	680	1343	2302	871	471
0	1	2	10	13	26	86	95	24	93	79	161	947	598	285	1504	1041	987	524	1745
0	1	2	3	17	27	43	69	110	339	278	203	109	380	250	2450	238	2038	1125	1189
0	1	2	4	12	17	55	50	179	119	172	141	306	749	813	766	535	1191	963	868
0	1	7	8	19	19	79	87	93	85	562	148	359	279	436	610	2165	1567	1088	1563
0	1	2	4	11	31	56	147	69	107	98	196	160	390	495	1161	369	658	1919	503
0	1	3	17	11	46	61	41	63	244	253	69	133	215	713	1426	867	2427	1422	2534
0	1	8	8	7	33	63	24	126	262	144	251	303	411	545	966	1197	943	2457	666
0	1	2	6	22	16	47	209	123	348	93	147	340	466	243	808	897	290	690	814
0	1	6	17	16	49	22	98	40	156	59	54	490	804	495	1326	364	886	3469	1504
0	1	7	11	10	22	159	51	130	59	84	314	222	114	263	309	313	773	753	1094
0	1	4	4	14	43	56	42	80	75	98	437	185	348	915	650	1020	400	1025	831
0	1	2	9	8	17	34	74	94	81	494	310	174	389	1506	1567	1267	1045	1134	637
0	1	2	5	23	74	11	148	77	136	112	289	966	1152	372	854	1058	845	1444	3476
0	1	4	11	12	26	19	27	76	131	120	97	473	466	760	213	492	1613	2824	935
0	1	3	4	17	15	119	117	134	106	217	550	183	202	1173	949	628	1273	1703	2608
0	1	5	18	7	14	65	246	74	338	180	502	411	379	546	401	1095	310	825	2126
0	1	4	11	27	66	16	51	163	332	141	116	193	610	270	1135	610	549	1365	1723
0	1	3	32	7	18	59	128	455	94	117	157	121	293	749	473	659	1823	1157	745
0	1	2	9	12	21	43	52	84	205	149	142	347	483	266	666	865	1354	1925	817
0	1	2	11	14	22	52	71	180	181	183	197	1091	588	290	514	306	618	541	1569
0	1	3	12	13	50	22	111	128	103	92	151	464	180	566	420	318	1178	4028	2023
0	1	9	9	10	27	86	37	112	215	396	186	224	229	306	244	423	1999	1003	1465
0	1	5	10	30	33	68	261	140	143	135	142	494	709	1147	306	503	3266	2216	1236
0	1	3	7	25	14	30	51	243	127	62	314	175	438	1091	458	1284	1470	901	1581
0	1	3	18	29	45	36	86	103	223	330	88	199	342	720	450	452	1038	1064	324
0	1	5	17	12	58	65	162	39	85	301	259	222	309	476	290	1392	1257	1428	1603
0	1	4	13	31	14	62	95	135	86	194	504	118	164	455	159	535	1784	517	623
0	1	5	7	26	87	39	44	102	113	146	153	803	421	361	1363	312	783	1303	717
0	1	6	13	11	95	45	113	245	95	203	394	271	1296	854	807	896	925	358	2358
